# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2025-04-17 02:54:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\bernoulli\bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 1221890664 (Default)
# output
#   file = examples\bernoulli\output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.01208
# Diagonal elements of inverse mass matrix:
# 0.584056
-6.95313,0.949797,1.01208,1,1,0,6.96949,0.335118
-6.9123,1,1.01208,1,1,0,6.99483,0.325758
-6.82078,1,1.01208,2,3,0,6.88831,0.204453
-8.23011,0.693826,1.01208,1,3,0,8.40563,0.492586
-8.18898,1,1.01208,1,1,0,8.82482,0.489029
-6.8627,1,1.01208,1,1,0,7.64682,0.312787
-7.88469,0.65498,1.01208,1,1,0,7.89809,0.460927
-6.82565,1,1.01208,2,3,0,7.45634,0.301265
-7.28599,0.912671,1.01208,2,3,0,7.33152,0.137297
-6.92113,1,1.01208,1,1,0,7.20045,0.181665
-7.23225,0.971184,1.01208,2,3,0,7.29684,0.384049
-6.82489,1,1.01208,1,1,0,7.08066,0.301004
-7.08352,0.910686,1.01208,2,3,0,7.29292,0.157969
-9.68471,0.700019,1.01208,1,3,0,10.0211,0.0455802
-6.8408,0.840727,1.01208,1,3,0,9.64542,0.198897
-6.8277,1,1.01208,1,1,0,6.85877,0.202445
-7.08812,0.97256,1.01208,2,3,0,7.08868,0.157417
-6.86764,1,1.01208,2,3,0,7.01971,0.314183
-8.89897,0.599537,1.01208,2,3,0,8.96719,0.0624907
-6.91762,0.956869,1.01208,1,3,0,8.67578,0.182304
-7.24516,0.970686,1.01208,2,3,0,7.32469,0.385936
-7.29212,0.980162,1.01208,1,1,0,7.48776,0.392617
-6.75665,1,1.01208,1,3,0,7.09378,0.266654
-6.87625,0.963304,1.01208,1,3,0,6.91723,0.190524
-6.74871,0.998939,1.01208,1,3,0,6.84521,0.245384
-7.18781,0.884653,1.01208,1,3,0,7.21069,0.377369
-6.92473,1,1.01208,1,1,0,7.1302,0.328711
-7.92253,0.657066,1.01208,1,1,0,7.95534,0.464612
-11.7891,0.187109,1.01208,1,1,0,12.1223,0.695419
-7.38072,1,1.01208,2,3,0,9.98991,0.404529
-6.88918,0.973499,1.01208,1,3,0,7.49938,0.187806
-7.70324,0.812658,1.01208,1,3,0,7.949,0.442357
-6.78203,1,1.01208,1,3,0,7.50493,0.218382
-7.41373,0.874216,1.01208,1,3,0,7.45108,0.126951
-6.96645,0.868671,1.01208,2,3,0,8.46052,0.337982
-6.74802,0.718769,1.01208,2,3,0,7.9783,0.249986
-7.17835,0.891551,1.01208,1,3,0,7.24762,0.147466
-6.86592,1,1.01208,1,1,0,7.09896,0.192809
-6.7701,0.97616,1.01208,2,3,0,7.06711,0.224365
-7.07372,0.81843,1.01208,2,3,0,7.66534,0.358629
-6.95772,0.86675,1.01208,2,3,0,7.62484,0.175408
-6.95772,0.775777,1.01208,1,3,0,8.38852,0.175408
-6.8014,0.965334,1.01208,2,3,0,7.32488,0.210714
-7.03241,0.937184,1.01208,1,1,0,7.03241,0.164453
-6.78762,0.958316,1.01208,2,3,0,7.39495,0.215971
-6.99545,0.958793,1.01208,1,3,0,6.99554,0.169618
-7.1288,0.968052,1.01208,1,1,0,7.1708,0.152738
-7.33475,0.955518,1.01208,1,1,0,7.39097,0.133158
-6.89287,1,1.01208,1,1,0,7.2246,0.187059
-8.58482,0.74941,1.01208,1,3,0,8.75783,0.0714075
-11.5303,0.805655,1.01208,1,3,0,11.6449,0.0229661
-10.2413,1,1.01208,1,1,0,11.5514,0.0368405
-9.08284,1,1.01208,1,1,0,10.2155,0.0579253
-7.83981,1,1.01208,1,1,0,8.9188,0.100815
-7.1391,1,1.01208,2,3,0,7.70015,0.151607
-7.17149,0.94811,1.01208,2,3,0,7.65734,0.37484
-7.26899,0.986514,1.01208,2,3,0,7.42986,0.389361
-6.83488,0.983733,1.01208,1,3,0,7.31204,0.200462
-7.05577,0.942898,1.01208,1,3,0,7.19606,0.355419
-6.83887,0.979228,1.01208,1,3,0,7.15305,0.1994
-6.74918,1,1.01208,1,3,0,6.81506,0.244021
-6.75167,0.999178,1.01208,1,1,0,6.75181,0.239418
-6.79885,0.970703,1.01208,2,3,0,6.88764,0.291189
-7.49251,0.759014,1.01208,1,1,0,7.49414,0.418497
-7.49251,0.501828,1.01208,1,1,0,8.60038,0.418497
-6.9373,0.982691,1.01208,2,3,0,7.76916,0.17881
-6.84241,0.968373,1.01208,2,3,0,7.22096,0.19848
-7.688,0.857773,1.01208,1,3,0,7.72112,0.108996
-7.21145,1,1.01208,2,3,0,7.62078,0.144169
-7.86451,0.941894,1.01208,2,3,0,7.9523,0.458938
-7.86451,0.575243,1.01208,1,3,0,9.13705,0.458938
-8.4655,0.764041,1.01208,1,1,0,8.90821,0.51202
-8.4655,0.850922,1.01208,1,1,0,9.38625,0.51202
-7.5655,1,1.01208,2,3,0,8.36406,0.427087
-6.96791,0.992158,1.01208,2,3,0,7.83191,0.173786
-6.98686,0.929379,1.01208,2,3,0,7.82083,0.170886
-6.85918,1,1.01208,1,1,0,6.96579,0.194364
-6.85918,0.923772,1.01208,1,3,0,7.20776,0.194364
-6.74886,0.996245,1.01208,1,3,0,6.84102,0.255144
-6.84049,0.894904,1.01208,2,3,0,7.14913,0.306136
-6.76438,0.978918,1.01208,2,3,0,6.93639,0.227857
-7.57885,0.800812,1.01208,1,3,0,7.65002,0.428619
-8.69131,0.608856,1.01208,1,1,0,8.98988,0.529367
-7.45541,1,1.01208,2,3,0,8.86091,0.123893
-7.43809,1,1.01208,1,1,0,7.61468,0.125147
-8.70529,0.86243,1.01208,1,3,0,8.70571,0.0678045
-6.83654,0.85939,1.01208,2,3,0,10.7999,0.200017
-7.19338,0.938734,1.01208,1,3,0,7.19343,0.145948
-7.28381,0.980436,1.01208,1,1,0,7.37721,0.137488
-7.04839,1,1.01208,1,1,0,7.26585,0.162351
-7.60244,0.885148,1.01208,1,1,0,7.60767,0.114097
