# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2025-04-17 02:54:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\bernoulli\bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 20060626
# output
#   file = examples\bernoulli\outputs\output2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.939616
# Diagonal elements of inverse mass matrix:
# 0.557715
-8.77989,0.818279,0.939616,2,3,0,9.14863,0.0656915
-8.53312,1,0.939616,1,1,0,8.94469,0.0730313
-7.99533,1,0.939616,1,1,0,8.53761,0.0933884
-9.36487,0.881222,0.939616,2,3,0,10.1734,0.0516955
-6.91093,0.921645,0.939616,2,7,0,8.71518,0.325427
-8.25493,0.628248,0.939616,1,1,0,8.25516,0.494708
-6.75397,1,0.939616,1,3,0,8.00697,0.236532
-7.00831,0.764723,0.939616,2,3,0,8.17653,0.167769
-7.23942,0.955873,0.939616,1,1,0,7.25385,0.141506
-6.92896,1,0.939616,1,1,0,7.17707,0.180263
-6.77486,0.920764,0.939616,2,3,0,7.50198,0.279678
-7.52793,0.830468,0.939616,1,3,0,7.54359,0.422714
-6.8105,1,0.939616,2,3,0,7.61453,0.207641
-6.7615,1,0.939616,2,3,0,6.7976,0.270885
-7.64297,0.803341,0.939616,1,3,0,7.67698,0.435815
-6.74965,0.855872,0.939616,2,3,0,8.3933,0.242915
-6.77292,0.993245,0.939616,1,3,0,6.78323,0.278557
-6.84954,0.884882,0.939616,2,3,0,7.3517,0.196683
-7.00542,0.988598,0.939616,2,3,0,7.00799,0.168179
-6.78512,0.920709,0.939616,2,3,0,7.61749,0.285033
-6.74807,1,0.939616,1,3,0,6.77955,0.251224
-7.63184,0.8125,0.939616,2,3,0,7.96009,0.1123
-7.91914,0.960818,0.939616,1,1,0,8.00324,0.0969183
-7.01423,0.929157,0.939616,1,3,0,8.76766,0.347647
-7.36889,0.885011,0.939616,1,1,0,7.4161,0.402985
-6.7916,1,0.939616,1,3,0,7.18729,0.288054
-6.79512,0.959329,0.939616,2,3,0,6.98874,0.289606
-6.79512,0.745555,0.939616,1,3,0,7.95255,0.289606
-6.75867,0.986141,0.939616,2,3,0,6.87185,0.268531
-7.35048,0.836628,0.939616,1,3,0,7.6394,0.131875
-6.76731,0.959641,0.939616,1,3,0,7.48614,0.275069
-6.78024,0.946029,0.939616,2,3,0,7.04084,0.219197
-7.77736,0.803629,0.939616,1,3,0,7.98428,0.104057
-6.93038,0.879199,0.939616,2,3,0,8.62667,0.330022
-6.98805,0.993725,0.939616,2,3,0,7.03606,0.342461
-9.71802,0.22211,0.939616,1,3,0,12.9978,0.0449939
-9.58605,1,0.939616,2,3,0,10.0185,0.0473701
-6.95136,0.98484,0.939616,1,3,0,9.81027,0.176445
-6.8864,0.972937,0.939616,2,3,0,7.23504,0.319255
-7.3806,0.793757,0.939616,2,3,0,8.09072,0.129485
-8.05629,0.903918,0.939616,1,1,0,8.06141,0.0907011
-7.35173,1,0.939616,1,1,0,7.95226,0.131774
-7.12006,0.970484,0.939616,2,3,0,7.82297,0.153715
-6.77739,0.893859,0.939616,2,3,0,8.58844,0.220554
-6.75572,0.943545,0.939616,2,3,0,7.11597,0.265716
-6.92609,0.949106,0.939616,1,3,0,7.01156,0.180773
-6.76773,1,0.939616,2,3,0,6.8888,0.275348
-7.22038,0.895332,0.939616,1,3,0,7.22993,0.382293
-7.22038,0.673466,0.939616,1,3,0,8.47236,0.382293
-6.75457,1,0.939616,1,3,0,7.18871,0.235879
-8.35058,0.504174,0.939616,2,3,0,10.051,0.502719
-7.07601,1,0.939616,1,1,0,7.92165,0.359031
-6.84,0.962035,0.939616,1,3,0,7.28497,0.199105
-6.90172,0.985898,0.939616,1,1,0,6.91233,0.185307
-6.79565,0.978479,0.939616,2,3,0,7.03121,0.289833
-7.22804,0.736776,0.939616,2,3,0,8.16016,0.142576
-6.88961,0.992135,0.939616,1,3,0,7.15701,0.187718
-8.92939,0.671825,0.939616,1,3,0,9.42768,0.0617049
-8.90353,1,0.939616,1,1,0,9.22859,0.0623722
-6.75786,0.960431,0.939616,2,3,0,9.65892,0.267802
-6.79319,0.989649,0.939616,1,1,0,6.79329,0.28876
-6.74993,1,0.939616,1,3,0,6.78251,0.257768
-7.89899,0.719865,0.939616,1,3,0,8.41656,0.0978859
-9.49924,0.81684,0.939616,1,3,0,9.52229,0.0490142
-8.84427,1,0.939616,2,3,0,9.54598,0.0639358
-8.11642,1,0.939616,1,1,0,8.80861,0.0881602
-8.50375,0.957999,0.939616,1,1,0,8.61378,0.0739758
-7.11736,0.900016,0.939616,1,3,0,9.83249,0.366106
-6.79103,1,0.939616,2,3,0,7.09526,0.214586
-6.83133,0.990207,0.939616,1,1,0,6.83544,0.201431
-7.04146,0.935563,0.939616,1,3,0,7.26283,0.352799
-7.39272,0.885508,0.939616,1,1,0,7.44858,0.406081
-7.28986,1,0.939616,1,1,0,7.52175,0.392301
-6.74993,0.883414,0.939616,2,3,0,7.8611,0.257777
-6.78672,0.991392,0.939616,1,3,0,6.78803,0.285798
